iter	Passed	Remaining
224	262	903
225	262	899
226	263	896
227	263	892
228	264	889
229	264	886
230	265	883
231	265	880
232	266	877
233	267	874
234	267	871
235	268	868
236	268	865
237	269	862
238	269	858
239	270	855
240	270	852
241	271	850
242	271	847
243	272	844
244	272	841
245	273	838
246	273	835
247	274	832
248	274	829
249	275	826
250	275	823
251	276	820
252	276	817
253	277	815
254	277	812
255	278	809
256	278	806
257	279	803
258	279	801
259	280	798
260	281	796
261	281	793
262	282	791
263	283	789
264	283	786
265	284	784
266	284	782
267	285	779
268	286	777
269	286	774
270	287	772
271	287	769
272	288	767
273	288	764
274	289	761
275	289	759
276	290	757
277	290	755
278	291	752
279	291	750
280	292	748
281	292	745
282	293	743
283	294	741
284	294	738
285	295	736
286	295	734
287	296	731
288	296	729
289	297	727
290	297	725
291	298	723
292	298	720
293	299	718
294	299	716
295	300	714
296	300	711
297	301	709
298	301	707
299	302	705
300	302	703
301	303	701
302	303	698
303	304	696
304	304	694
305	305	692
306	305	690
307	306	688
308	306	685
309	307	683
310	307	681
311	308	679
312	308	678
313	309	676
314	310	674
315	310	672
316	311	670
317	311	668
318	312	666
319	312	664
320	313	662
321	313	660
322	314	659
323	314	657
324	315	655
325	315	653
326	316	651
327	317	649
328	317	647
329	318	646
330	318	644
331	319	642
332	320	641
333	320	639
334	321	637
335	321	635
336	322	633
337	322	632
338	323	630
339	323	628
340	324	626
341	324	624
342	325	622
343	325	621
344	326	619
345	326	617
346	327	615
347	327	613
348	328	612
349	328	610
350	329	608
351	329	606
352	330	604
353	330	603
354	331	601
355	331	600
356	332	598
357	332	596
358	333	595
359	333	593
360	334	592
361	335	590
362	335	589
363	336	587
364	336	586
365	337	584
366	337	582
367	338	581
368	338	579
369	339	578
370	340	576
371	340	575
372	341	573
373	341	571
374	342	570
375	342	568
376	343	567
377	343	565
378	344	563
379	344	562
380	345	560
381	345	559
382	346	557
383	346	556
384	347	554
385	347	553
386	348	551
387	348	550
388	349	548
389	349	547
390	350	545
391	350	544
392	351	542
393	351	541
394	352	539
395	352	538
396	353	536
397	353	535
398	354	533
399	354	532
400	355	530
401	355	529
402	356	528
403	356	526
404	357	525
405	357	523
406	358	522
407	358	520
408	359	519
409	359	518
410	360	516
411	360	515
412	361	513
413	361	512
414	362	510
415	362	509
416	363	507
417	363	506
418	364	505
419	364	503
420	365	502
421	365	500
422	366	499
423	366	498
424	367	496
425	367	495
426	368	494
427	369	493
428	369	491
429	370	490
430	370	489
431	371	488
432	371	486
433	372	485
434	373	484
435	373	483
436	374	481
437	374	480
438	375	479
439	375	478
440	376	477
441	376	475
442	377	474
443	377	473
444	378	471
445	378	470
446	379	469
447	379	468
448	380	466
449	380	465
450	381	464
451	381	463
452	382	461
453	382	460
454	383	459
455	383	457
456	384	456
457	384	455
458	385	454
459	386	454
460	387	452
461	387	451
462	388	450
463	388	449
464	389	447
465	389	446
466	390	445
467	390	444
468	391	442
469	391	441
470	392	440
471	392	439
472	393	438
473	393	437
474	394	435
475	394	434
476	395	433
477	395	432
478	396	431
479	396	429
480	397	428
481	397	427
482	398	426
483	398	425
484	399	424
485	399	422
486	400	421
487	400	420
488	401	419
489	401	418
490	402	416
491	402	415
492	403	414
493	403	413
494	404	412
495	404	411
496	405	410
497	405	408
498	406	407
499	406	406
500	407	405
501	407	404
502	408	403
503	408	402
504	409	401
505	409	400
506	410	399
507	411	398
508	411	397
509	412	395
510	412	394
511	413	393
512	413	392
513	414	391
514	414	390
515	415	389
516	415	388
517	416	387
518	417	386
519	417	385
520	418	384
521	418	383
522	419	382
523	419	381
524	419	379
525	420	378
526	420	377
527	421	376
528	422	375
529	422	374
530	423	373
531	423	372
532	424	371
533	424	370
534	425	369
535	425	368
536	426	367
537	426	366
538	427	365
539	428	364
540	428	363
541	429	362
542	429	361
543	430	360
544	430	359
545	431	358
546	431	357
547	432	356
548	432	355
549	433	354
550	433	353
551	434	352
552	434	351
553	435	350
554	435	349
555	436	348
556	436	347
557	437	346
558	438	345
559	438	344
560	438	343
561	439	342
562	440	341
563	440	340
564	441	339
565	441	338
566	442	338
567	443	337
568	443	336
569	444	335
570	444	334
571	445	333
572	446	332
573	446	331
574	447	330
575	447	329
576	448	328
577	448	327
578	449	326
579	449	325
580	450	324
581	450	323
582	451	322
583	452	322
584	452	321
585	453	320
586	453	319
587	454	318
588	454	317
589	455	316
590	455	315
591	456	314
592	456	313
593	457	312
594	457	311
595	458	310
596	458	309
597	459	308
598	459	307
599	460	306
600	460	306
601	461	305
602	461	304
603	462	303
604	462	302
605	463	301
606	463	300
607	464	299
608	464	298
609	465	297
610	465	296
611	466	295
612	466	294
613	467	293
614	467	292
615	468	291
616	468	290
617	469	289
618	469	288
619	469	288
620	470	287
621	470	286
622	471	285
623	471	284
624	472	283
625	472	282
626	473	281
627	473	280
628	474	279
629	474	278
630	475	278
631	475	277
632	476	276
633	476	275
634	477	274
635	477	273
636	478	272
637	479	271
638	479	270
639	480	270
640	480	269
641	481	268
642	481	267
643	482	266
644	482	265
645	483	264
646	483	263
647	484	263
648	484	262
649	485	261
650	485	260
651	486	259
652	486	258
653	487	257
654	487	256
655	488	256
656	488	255
657	489	254
658	489	253
659	490	252
660	490	251
661	491	250
662	491	250
663	492	249
664	493	248
665	493	247
666	494	246
667	494	245
668	495	245
669	495	244
670	496	243
671	497	242
672	497	241
673	498	240
674	498	240
675	499	239
676	500	238
677	500	237
678	501	236
679	501	236
680	502	235
681	502	234
682	503	233
683	503	232
684	504	231
685	505	231
686	505	230
687	506	229
688	507	228
689	507	228
690	508	227
691	508	226
692	509	225
693	510	224
694	510	224
695	511	223
696	511	222
697	512	221
698	512	220
699	513	219
700	513	219
701	514	218
702	514	217
703	515	216
704	515	215
705	516	214
706	516	214
707	517	213
708	517	212
709	518	211
710	518	210
711	519	210
712	520	209
713	520	208
714	521	207
715	521	206
716	522	206
717	522	205
718	523	204
719	523	203
720	524	202
721	524	202
722	525	201
723	526	200
724	526	199
725	527	198
726	527	198
727	528	197
728	528	196
729	529	195
730	529	194
731	530	194
732	530	193
733	531	192
734	531	191
735	532	190
736	532	190
737	533	189
738	534	188
739	534	187
740	535	187
741	535	186
742	536	185
743	537	184
744	537	184
745	538	183
746	538	182
747	539	181
748	539	180
749	540	180
750	541	179
751	541	178
752	542	177
753	542	177
754	543	176
755	543	175
756	544	174
757	544	173
758	545	173
759	545	172
760	546	171
761	546	170
762	547	170
763	547	169
764	548	168
765	548	167
766	549	166
767	550	166
768	550	165
769	551	164
770	551	163
771	552	163
772	552	162
773	553	161
774	553	160
775	554	159
776	554	159
777	555	158
778	556	157
779	556	156
780	557	156
781	557	155
782	558	154
783	558	153
784	559	153
785	560	152
786	560	151
787	561	150
788	561	150
789	562	149
790	563	148
791	563	148
792	564	147
793	564	146
794	565	145
795	565	145
796	566	144
797	566	143
798	567	142
799	567	141
800	568	141
801	568	140
802	569	139
803	570	138
804	570	138
805	571	137
806	571	136
807	571	135
808	572	135
809	572	134
810	573	133
811	573	132
812	574	132
813	574	131
814	575	130
815	576	129
816	576	129
817	576	128
818	577	127
819	578	126
820	578	126
821	579	125
822	579	124
823	580	123
824	580	123
825	581	122
826	581	121
827	582	120
828	582	120
829	583	119
830	583	118
831	584	117
832	584	117
833	585	116
834	585	115
835	586	114
836	586	114
837	587	113
838	587	112
839	588	112
840	588	111
841	589	110
842	589	109
843	590	109
844	590	108
845	591	107
846	591	106
847	591	106
848	592	105
849	593	104
850	593	103
851	594	103
852	594	102
853	595	101
854	595	100
855	595	100
856	596	99
857	596	98
858	597	98
859	597	97
860	598	96
861	598	95
862	599	95
863	600	94
864	600	93
865	601	93
866	601	92
867	602	91
868	602	90
869	603	90
870	603	89
871	604	88
872	604	87
873	605	87
874	605	86
875	606	85
876	606	85
877	607	84
878	607	83
879	608	82
880	608	82
881	609	81
882	609	80
883	610	80
884	611	79
885	611	78
886	612	77
887	612	77
888	613	76
889	613	75
890	614	75
891	615	74
892	615	73
893	616	73
894	616	72
895	617	71
896	618	70
897	618	70
898	619	69
899	619	68
900	620	68
901	621	67
902	621	66
903	622	66
904	622	65
905	623	64
906	623	63
907	624	63
908	625	62
909	625	61
910	626	61
911	626	60
912	627	59
913	627	59
914	628	58
915	628	57
916	629	56
917	629	56
918	630	55
919	630	54
920	631	54
921	632	53
922	632	52
923	632	52
924	633	51
925	633	50
926	634	49
927	634	49
928	635	48
929	635	47
930	636	47
931	636	46
932	637	45
933	638	45
934	638	44
935	639	43
936	639	43
937	640	42
938	640	41
939	641	40
940	641	40
941	642	39
942	642	38
943	643	38
944	644	37
945	644	36
946	645	36
947	645	35
948	646	34
949	646	34
950	647	33
951	648	32
952	648	31
953	649	31
954	649	30
955	650	29
956	651	29
957	651	28
958	652	27
959	652	27
960	653	26
961	653	25
962	654	25
963	654	24
964	655	23
965	655	23
966	656	22
967	656	21
968	657	21
969	657	20
970	658	19
971	658	18
972	659	18
973	659	17
974	660	16
975	660	16
976	661	15
977	661	14
978	662	14
979	662	13
980	663	12
981	663	12
982	664	11
983	664	10
984	664	10
985	665	9
986	665	8
987	666	8
988	667	7
989	667	6
990	668	6
991	668	5
992	669	4
993	669	4
994	670	3
995	671	2
996	672	2
997	672	1
998	673	0
999	674	0
