iter	Passed	Remaining
0	138	138056
1	140	70000
2	141	47182
3	143	35749
4	145	28868
5	146	24260
6	147	20964
7	149	18478
8	150	16546
9	151	14988
10	152	13722
11	153	12657
12	154	11749
13	155	10964
14	156	10290
15	157	9693
16	158	9181
17	159	8700
18	160	8264
19	160	7871
20	161	7520
21	161	7194
22	162	6898
23	162	6625
24	163	6376
25	164	6145
26	164	5929
27	165	5730
28	165	5546
29	166	5375
30	166	5220
31	167	5067
32	168	4923
33	168	4791
34	169	4667
35	169	4548
36	170	4441
37	171	4335
38	171	4230
39	172	4131
40	172	4038
41	173	3947
42	173	3863
43	174	3782
44	174	3704
45	175	3630
46	175	3559
47	175	3490
48	176	3425
49	177	3363
50	177	3303
51	177	3244
52	178	3189
53	178	3135
54	179	3082
55	179	3032
56	180	2982
57	180	2935
58	181	2889
59	181	2845
60	182	2802
61	182	2761
62	183	2722
63	183	2683
64	183	2646
65	184	2609
66	184	2574
67	185	2537
68	185	2504
69	186	2472
70	186	2442
71	187	2411
72	187	2382
73	188	2353
74	188	2327
75	189	2302
76	189	2276
77	190	2251
78	190	2226
79	191	2202
80	192	2178
81	192	2156
82	193	2134
83	193	2112
84	194	2089
85	194	2068
86	195	2046
87	195	2026
88	196	2007
89	196	1988
90	197	1969
91	197	1951
92	198	1933
93	198	1916
94	199	1898
95	200	1889
96	201	1872
97	201	1856
98	202	1839
99	202	1823
100	203	1808
101	203	1790
102	203	1775
103	204	1760
104	204	1746
105	205	1732
106	205	1718
107	206	1704
108	206	1691
109	207	1678
110	207	1665
111	208	1652
112	208	1639
113	209	1626
114	209	1614
115	210	1600
116	210	1589
117	211	1577
118	211	1565
119	211	1554
120	212	1542
121	212	1531
122	213	1519
123	213	1508
124	213	1497
125	214	1487
126	214	1477
127	215	1466
128	215	1456
129	216	1446
130	216	1437
131	217	1427
132	217	1418
133	218	1409
134	218	1399
135	218	1391
136	219	1382
137	219	1373
138	220	1364
139	220	1356
140	221	1347
141	221	1339
142	222	1330
143	222	1323
144	223	1315
145	223	1307
146	224	1300
147	224	1292
148	224	1284
149	225	1277
150	225	1270
151	226	1263
152	226	1256
153	227	1249
154	227	1242
155	228	1235
156	228	1228
157	229	1222
158	229	1215
159	230	1209
160	230	1202
161	231	1196
162	231	1190
163	232	1184
164	232	1178
165	233	1172
166	233	1166
167	234	1160
168	234	1154
169	235	1149
170	235	1143
171	236	1137
172	236	1132
173	237	1126
174	237	1120
175	238	1115
176	238	1110
177	239	1105
178	239	1100
179	240	1095
180	240	1089
181	241	1084
182	241	1079
183	242	1073
184	242	1068
185	243	1063
186	243	1058
187	243	1053
188	244	1048
189	244	1043
190	245	1039
191	246	1035
192	246	1030
193	247	1026
194	247	1021
195	247	1017
196	248	1012
197	248	1008
198	249	1003
199	249	999
200	250	995
201	250	990
202	251	986
203	251	982
204	252	978
205	252	974
206	253	971
207	253	966
208	254	962
209	254	958
210	255	954
211	255	950
212	256	947
213	256	943
214	257	939
215	257	935
216	258	931
217	258	928
218	259	924
219	259	920
220	260	917
221	260	913
222	261	910
223	261	906
